countrycode,country,country_norm
AGO,Angola,angola
AIA,Anguilla,anguilla
ATG,Antigua and Barbuda,antigua and barbuda
ABW,Aruba,aruba
AZE,Azerbaijan,azerbaijan
BHS,Bahamas,bahamas
BLR,Belarus,belarus
BMU,Bermuda,bermuda
BTN,Bhutan,bhutan
BIH,Bosnia and Herzegovina,bosnia and herzegovina
VGB,British Virgin Islands,british virgin islands
BFA,Burkina Faso,burkina faso
CPV,Cabo Verde,cabo verde
CYM,Cayman Islands,cayman islands
TCD,Chad,chad
COM,Comoros,comoros
CUW,Curaçao,curacao
DJI,Djibouti,djibouti
DMA,Dominica,dominica
GNQ,Equatorial Guinea,equatorial guinea
ETH,Ethiopia,ethiopia
GEO,Georgia,georgia
GRD,Grenada,grenada
GIN,Guinea,guinea
GNB,Guinea-Bissau,guinea bissau
LBN,Lebanon,lebanon
MDG,Madagascar,madagascar
MNE,Montenegro,montenegro
MSR,Montserrat,montserrat
NGA,Nigeria,nigeria
MKD,North Macedonia,north macedonia
OMN,Oman,oman
KNA,Saint Kitts and Nevis,saint kitts and nevis
LCA,Saint Lucia,saint lucia
STP,Sao Tome and Principe,sao tome and principe
SYC,Seychelles,seychelles
SXM,Sint Maarten (Dutch part),sint maarten dutch part
VCT,St. Vincent and the Grenadines,st vincent and the grenadines
PSE,State of Palestine,state of palestine
SUR,Suriname,suriname
TKM,Turkmenistan,turkmenistan
TCA,Turks and Caicos Islands,turks and caicos islands
UZB,Uzbekistan,uzbekistan
